USA / CA;AU / IE / UK;DE / CH;FR;NL;SE;ES/MX;NO;DK;IT;FI
for Men;for Men;für Männer;pour Hommes;voor Mannen;till Män;;for Menn;till Mænd;per gli Uomini;miehille
for Women;for Women;für Frauen;pour Femmes;voor Vrouwen;till Kvinnor;;for Kvinner;till Kvinder;per le Donne;naisille
for Teens;for Teens;für Teenager ;pour Adolescents;voor Tieners;till Tonåringar;;for Tenåringer;till Teenagere;per gli Adolescenti;teineille
for Girls;for Girls;für Mädchen;pour Filles ;voor Meisjes;till Flickor;;for Jenter;till Piger;per le Ragazze;tytöille
for Boys;for Boys;für Jungen ;pour Garçons;voor Jongens;till Pojkar;;for Gutter;till Børn;per i Ragazzi;pojille
for Kids;for Kids;für Kinder;pour Enfants;voor Kinderen;till Barn;;for Børn;till Barn;per i Bambini;lapsille
for Mom;for Mom;für Mama;pour Maman ;voor Mama;till Mamma;;for Mamma;till Mor;per la Mamma;äidille
for Moms;for Moms;für Mamas;pour Mamans ;voor Mama's;till Mammor;;for Mammas;till Mødre;per le Mamme;äideille
for Mother  ;for Mother  ;für Mutter;pour Maman;voor Moeder;till Moder;;for Mor;till Mor;per la Madre;äidille
for Mothers;for Mothers;für Mütter;pour Mamans ;voor Moeders;till Mödrar;;for Mødre;till Mødre;per le Madri;äideille
for Grandma;for Grandma;für Oma;pour Grand-mère;voor Oma;till Mormor/Farmor;;for Bestemor;till Mormor/Farmor;per la Nonna;isoäidille
for Grandmothers;for Grandmothers;für Omas;pour Grand-mères;voor Grootmoeders;till Mormödrar/Farmor;;for Bestemødre;till Bestemødre;per le Nonne;isoäideille
for New Mom;for New Mom;für neue Mama;pour Nouvelle Maman;voor Nieuwe Mama;till Nybliven Mamma;;for Nybakt Mamma;till Nybagt Mor;per la nuova Mamma;uudelle äidille
for Father;for Father;für Vater;pour Papa;voor Vader;till Pappa;;for Far;till Far;per il Padre;isälle
for Dad;for Dad;für Papa;pour Papa;voor Papa;till Pappa;;for Pappa;till Pappa;per il Papà;isälle
for Couples;for Couples;für Paare;pour Couples;voor Koppels;till Par;;for Par;till Par;per i Compagni;pareille
for Her;for Her;für sie;pour Elle ;voor Haar;till Henne;;for Henne;till Hende;per Lei;hänelle
for Him;for Him;für ihn;pour Lui ;voor Hem;till Honom;;for Ham;till Ham;per Lui;hänelle
for Her & Him;for Her & Him;für ihn & sie;pour Elle & Lui;voor Haar & Hem;till Henne & Honom;;for Henne og Ham;till Hende & Ham;per Lei & Lui;hänelle ja hänelle
for Friends;for Friends;für Freunde ;pour Amis;voor Vrienden;till Vänner;;for Venner;till Venner;per gli Amici;ystäville
for Bachelorette;for Bachelorette;für Bachelorette;pour Future Mariée;voor Vrijgezellenfeest;till Möhippan;;for Bachelorette;till Bachelorette;per la Festa di Addio al Nubilato;morsiamelle
